model,request_file,effort,iterations,response_time_min_ms,response_time_p50_ms,response_time_p90_ms,response_time_p95_ms,response_time_p99_ms,response_time_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max
claude-opus-4-7,slow_request_40s,high,1,2776.62,2776.62,2776.62,2776.62,2776.62,2776.62,27121,27121,27121,27121,27121,27121,127,127,127,127,127,127
claude-opus-4-7,slow_request_40s,medium,1,5419.51,5419.51,5419.51,5419.51,5419.51,5419.51,27121,27121,27121,27121,27121,27121,302,302,302,302,302,302
claude-opus-4-7,slow_request_40s,low,1,3008.99,3008.99,3008.99,3008.99,3008.99,3008.99,27121,27121,27121,27121,27121,27121,160,160,160,160,160,160
claude-opus-4-7,slow_request_60s,high,1,2490.06,2490.06,2490.06,2490.06,2490.06,2490.06,60554,60554,60554,60554,60554,60554,79,79,79,79,79,79
claude-opus-4-7,slow_request_60s,medium,1,2962.87,2962.87,2962.87,2962.87,2962.87,2962.87,60554,60554,60554,60554,60554,60554,89,89,89,89,89,89
claude-opus-4-7,slow_request_60s,low,1,3063.79,3063.79,3063.79,3063.79,3063.79,3063.79,60554,60554,60554,60554,60554,60554,172,172,172,172,172,172
claude-opus-4-6,slow_request_40s,high,1,2580.52,2580.52,2580.52,2580.52,2580.52,2580.52,28801,28801,28801,28801,28801,28801,144,144,144,144,144,144
claude-opus-4-6,slow_request_40s,medium,1,3823.00,3823.00,3823.00,3823.00,3823.00,3823.00,28801,28801,28801,28801,28801,28801,120,120,120,120,120,120
claude-opus-4-6,slow_request_40s,low,1,4841.00,4841.00,4841.00,4841.00,4841.00,4841.00,28801,28801,28801,28801,28801,28801,253,253,253,253,253,253
claude-opus-4-6,slow_request_60s,high,1,8120.16,8120.16,8120.16,8120.16,8120.16,8120.16,57242,57242,57242,57242,57242,57242,316,316,316,316,316,316
claude-opus-4-6,slow_request_60s,medium,1,9009.74,9009.74,9009.74,9009.74,9009.74,9009.74,57242,57242,57242,57242,57242,57242,224,224,224,224,224,224
claude-opus-4-6,slow_request_60s,low,1,4645.79,4645.79,4645.79,4645.79,4645.79,4645.79,57242,57242,57242,57242,57242,57242,150,150,150,150,150,150
claude-sonnet-4-6,slow_request_40s,high,1,5481.82,5481.82,5481.82,5481.82,5481.82,5481.82,21231,21231,21231,21231,21231,21231,128,128,128,128,128,128
claude-sonnet-4-6,slow_request_40s,medium,1,4006.00,4006.00,4006.00,4006.00,4006.00,4006.00,21231,21231,21231,21231,21231,21231,208,208,208,208,208,208
claude-sonnet-4-6,slow_request_40s,low,1,5214.28,5214.28,5214.28,5214.28,5214.28,5214.28,21231,21231,21231,21231,21231,21231,300,300,300,300,300,300
claude-sonnet-4-6,slow_request_60s,high,1,2431.39,2431.39,2431.39,2431.39,2431.39,2431.39,45065,45065,45065,45065,45065,45065,77,77,77,77,77,77
claude-sonnet-4-6,slow_request_60s,medium,1,3234.38,3234.38,3234.38,3234.38,3234.38,3234.38,45065,45065,45065,45065,45065,45065,125,125,125,125,125,125
claude-sonnet-4-6,slow_request_60s,low,1,2355.11,2355.11,2355.11,2355.11,2355.11,2355.11,45065,45065,45065,45065,45065,45065,68,68,68,68,68,68
