model,request_file,effort,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,response_time_min_ms,response_time_p50_ms,response_time_p90_ms,response_time_p95_ms,response_time_p99_ms,response_time_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,thinking_tokens_min,thinking_tokens_p50,thinking_tokens_p90,thinking_tokens_p95,thinking_tokens_p99,thinking_tokens_max,source_json
claude-opus-4-6,slow_request_40s,high,10,990.65,1462.54,2104.41,2119.15,2130.94,2133.89,2579.76,3712.49,5210.59,5591.77,5896.72,5972.96,28801,28801,28801,28801,28801,28801,136,146,223,230,236,238,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_025741/claude-opus-4-6_slow_request_40s_high_20260529_025741.json
claude-opus-4-6,slow_request_40s,medium,10,895.11,1303.01,1951.53,2008.87,2054.73,2066.20,2600.15,3170.08,3560.29,3646.04,3714.64,3731.79,28801,28801,28801,28801,28801,28801,110,146,157,188,214,220,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_025741/claude-opus-4-6_slow_request_40s_medium_20260529_025741.json
claude-opus-4-6,slow_request_40s,low,10,984.64,1314.19,2056.98,2392.02,2660.05,2727.06,2305.71,3996.57,5078.15,5974.20,6691.03,6870.24,28801,28801,28801,28801,28801,28801,111,184,289,338,377,387,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_025741/claude-opus-4-6_slow_request_40s_low_20260529_025741.json
claude-opus-4-6,slow_request_60s,high,10,1389.58,1649.80,2573.13,2832.69,3040.34,3092.25,2322.40,4056.66,6008.96,6385.13,6686.07,6761.30,57242,57242,57242,57242,57242,57242,92,181,267,280,290,293,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_025741/claude-opus-4-6_slow_request_60s_high_20260529_025741.json
claude-opus-4-6,slow_request_60s,medium,10,1512.73,1797.82,3804.35,4493.68,5045.14,5183.00,2079.16,3880.73,7055.29,7112.60,7158.44,7169.90,57242,57242,57242,57242,57242,57242,92,140,247,249,251,251,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_025741/claude-opus-4-6_slow_request_60s_medium_20260529_025741.json
claude-opus-4-6,slow_request_60s,low,10,1254.57,1525.15,1813.36,1817.96,1821.63,1822.55,2097.48,3830.38,4535.84,4675.38,4787.01,4814.92,57242,57242,57242,57242,57242,57242,92,153,214,220,226,227,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_025741/claude-opus-4-6_slow_request_60s_low_20260529_025741.json
claude-sonnet-4-6,slow_request_40s,high,10,1049.45,1692.22,3053.89,3323.19,3538.64,3592.50,1492.89,3866.54,5347.99,5399.09,5439.96,5450.18,21231,21231,21231,21231,21231,21231,67,188,209,232,250,255,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_025741/claude-sonnet-4-6_slow_request_40s_high_20260529_025741.json
claude-sonnet-4-6,slow_request_40s,medium,10,1051.74,1281.40,5775.24,6069.33,6304.60,6363.42,2160.69,3956.85,7886.54,8155.08,8369.90,8423.61,21231,21231,21231,21231,21231,21231,120,192,214,216,218,219,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_025741/claude-sonnet-4-6_slow_request_40s_medium_20260529_025741.json
claude-sonnet-4-6,slow_request_40s,low,10,904.53,1136.31,1742.73,1929.64,2079.17,2116.55,2750.10,3666.77,4407.08,5772.60,6865.03,7138.13,21231,21231,21231,21231,21231,21231,103,118,210,212,214,214,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_025741/claude-sonnet-4-6_slow_request_40s_low_20260529_025741.json
claude-sonnet-4-6,slow_request_60s,high,10,1220.89,1520.20,3653.25,5430.36,6852.04,7207.46,1731.48,3388.39,4502.56,7304.25,9545.60,10105.94,45065,45065,45065,45065,45065,45065,55,104,185,204,218,222,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_025741/claude-sonnet-4-6_slow_request_60s_high_20260529_025741.json
