model,request_file,thinking_config,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,response_time_min_ms,response_time_p50_ms,response_time_p90_ms,response_time_p95_ms,response_time_p99_ms,response_time_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,thinking_tokens_min,thinking_tokens_p50,thinking_tokens_p90,thinking_tokens_p95,thinking_tokens_p99,thinking_tokens_max,source_json
claude-opus-4-6,slow_request_40s,budget:1024,10,1065.70,1277.84,2581.42,2921.70,3193.93,3261.99,2637.98,3027.95,4303.68,4524.49,4701.15,4745.31,28801,28801,28801,28801,28801,28801,67,146,158,183,204,209,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-opus-4-6_slow_request_40s_1024_20260529_032411.json
claude-opus-4-6,slow_request_40s,budget:4096,10,881.46,1141.66,1388.15,1498.21,1586.27,1608.28,2683.13,3062.64,3975.64,4080.66,4164.68,4185.69,28801,28801,28801,28801,28801,28801,134,144,184,206,224,228,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-opus-4-6_slow_request_40s_4096_20260529_032411.json
claude-opus-4-6,slow_request_40s,budget:10000,10,969.10,1290.26,2007.82,2426.74,2761.87,2845.65,2521.80,2885.41,4493.65,5107.70,5598.94,5721.75,28801,28801,28801,28801,28801,28801,135,145,158,188,213,219,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-opus-4-6_slow_request_40s_10000_20260529_032411.json
claude-opus-4-6,slow_request_60s,budget:1024,10,1362.86,1682.47,2911.01,3183.74,3401.93,3456.48,2329.18,3472.06,6585.20,6594.44,6601.82,6603.67,57242,57242,57242,57242,57242,57242,92,151,255,260,263,264,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-opus-4-6_slow_request_60s_1024_20260529_032411.json
claude-opus-4-6,slow_request_60s,budget:4096,10,1485.22,1755.12,2394.29,2663.88,2879.56,2933.48,2270.31,3134.59,6483.28,6744.67,6953.79,7006.07,57242,57242,57242,57242,57242,57242,92,131,258,283,302,307,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-opus-4-6_slow_request_60s_4096_20260529_032411.json
claude-opus-4-6,slow_request_60s,budget:10000,10,1374.32,1667.03,1839.92,2264.35,2603.90,2688.79,2228.00,4465.69,5992.33,6416.31,6755.49,6840.29,57242,57242,57242,57242,57242,57242,92,179,302,314,323,325,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-opus-4-6_slow_request_60s_10000_20260529_032411.json
claude-sonnet-4-6,slow_request_40s,budget:1024,10,923.18,1082.78,1232.17,1431.03,1590.12,1629.89,1907.02,3836.72,5754.52,5897.73,6012.29,6040.93,21231,21231,21231,21231,21231,21231,91,225,258,296,326,333,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-sonnet-4-6_slow_request_40s_1024_20260529_032411.json
claude-sonnet-4-6,slow_request_40s,budget:4096,10,987.47,1185.83,2375.29,2654.30,2877.50,2933.30,1825.35,3445.98,4506.52,5224.84,5799.49,5943.15,21231,21231,21231,21231,21231,21231,67,166,214,235,252,256,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-sonnet-4-6_slow_request_40s_4096_20260529_032411.json
claude-sonnet-4-6,slow_request_40s,budget:10000,10,895.77,1043.26,1566.73,1951.92,2260.08,2337.12,2120.50,4023.30,5202.81,5322.09,5417.51,5441.36,21231,21231,21231,21231,21231,21231,103,204,290,309,324,328,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-sonnet-4-6_slow_request_40s_10000_20260529_032411.json
claude-sonnet-4-6,slow_request_60s,budget:1024,10,1366.88,1619.74,3027.33,3433.21,3757.92,3839.10,2016.06,2494.80,5648.69,7123.01,8302.47,8597.34,45065,45065,45065,45065,45065,45065,70,92,170,216,253,262,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-sonnet-4-6_slow_request_60s_1024_20260529_032411.json
claude-sonnet-4-6,slow_request_60s,budget:4096,10,1311.27,1524.41,3950.69,4651.62,5212.36,5352.54,1889.63,4373.22,5857.95,6707.42,7387.00,7556.89,45065,45065,45065,45065,45065,45065,72,154,233,238,241,242,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-sonnet-4-6_slow_request_60s_4096_20260529_032411.json
claude-sonnet-4-6,slow_request_60s,budget:10000,10,1309.14,1565.86,2835.55,3034.42,3193.52,3233.29,1884.12,3382.02,4173.23,4422.61,4622.11,4671.99,45065,45065,45065,45065,45065,45065,55,122,166,166,166,166,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_032411/claude-sonnet-4-6_slow_request_60s_10000_20260529_032411.json
