thinking_level,iteration,ttft_ms,input_tokens,output_tokens,cached_tokens,thinking_tokens,traffic_type,ttft_p50,ttft_p90,ttft_p95,thinking_tokens_p50,thinking_tokens_p90,thinking_tokens_p95
minimal,1,14558.94,23676,28,22422,3467,TrafficType.PROVISIONED_THROUGHPUT,18939.31,29170.81,30154.45,4454,6096,6112
minimal,2,15581.78,23676,46,0,3583,TrafficType.PROVISIONED_THROUGHPUT,18939.31,29170.81,30154.45,4454,6096,6112
minimal,3,19098.76,23676,31,0,4861,TrafficType.PROVISIONED_THROUGHPUT,18939.31,29170.81,30154.45,4454,6096,6112
minimal,4,18779.87,23676,15,22422,4852,TrafficType.PROVISIONED_THROUGHPUT,18939.31,29170.81,30154.45,4454,6096,6112
minimal,5,31138.10,23676,4618,22422,4055,TrafficType.PROVISIONED_THROUGHPUT,18939.31,29170.81,30154.45,4454,6096,6112
minimal,6,21476.88,23676,48,0,4856,TrafficType.ON_DEMAND,18939.31,29170.81,30154.45,4454,6096,6112
minimal,7,28952.22,23676,41,0,6093,TrafficType.PROVISIONED_THROUGHPUT,18939.31,29170.81,30154.45,4454,6096,6112
minimal,8,11343.85,23676,43,22422,2299,TrafficType.PROVISIONED_THROUGHPUT,18939.31,29170.81,30154.45,4454,6096,6112
minimal,9,16890.10,23676,28,22422,3658,TrafficType.PROVISIONED_THROUGHPUT,18939.31,29170.81,30154.45,4454,6096,6112
minimal,10,24507.86,23676,18,22422,6127,TrafficType.PROVISIONED_THROUGHPUT,18939.31,29170.81,30154.45,4454,6096,6112
medium,1,16924.20,23676,28,0,3956,TrafficType.PROVISIONED_THROUGHPUT,16792.33,25679.57,28031.67,4197,6290,6811
medium,2,14924.14,23676,28,22422,3465,TrafficType.PROVISIONED_THROUGHPUT,16792.33,25679.57,28031.67,4197,6290,6811
medium,3,25156.88,23676,28,22422,6174,TrafficType.PROVISIONED_THROUGHPUT,16792.33,25679.57,28031.67,4197,6290,6811
medium,4,16660.46,23676,28,0,4228,TrafficType.PROVISIONED_THROUGHPUT,16792.33,25679.57,28031.67,4197,6290,6811
medium,5,18165.13,23676,31,22422,4570,TrafficType.PROVISIONED_THROUGHPUT,16792.33,25679.57,28031.67,4197,6290,6811
medium,6,16267.57,23676,31,22422,4166,TrafficType.PROVISIONED_THROUGHPUT,16792.33,25679.57,28031.67,4197,6290,6811
medium,7,18390.13,23676,31,22422,4500,TrafficType.PROVISIONED_THROUGHPUT,16792.33,25679.57,28031.67,4197,6290,6811
medium,8,30383.78,23676,27,0,7332,TrafficType.ON_DEMAND,16792.33,25679.57,28031.67,4197,6290,6811
medium,9,13004.16,23676,31,22422,3485,TrafficType.PROVISIONED_THROUGHPUT,16792.33,25679.57,28031.67,4197,6290,6811
medium,10,12182.87,23676,28,22422,3209,TrafficType.PROVISIONED_THROUGHPUT,16792.33,25679.57,28031.67,4197,6290,6811
high,1,17467.05,23676,28,0,4324,TrafficType.PROVISIONED_THROUGHPUT,22433.99,35055.78,35527.43,4598,8284,8854
high,2,20392.88,23676,27,0,4438,TrafficType.PROVISIONED_THROUGHPUT,22433.99,35055.78,35527.43,4598,8284,8854
high,3,18094.23,23676,28,22422,4355,TrafficType.PROVISIONED_THROUGHPUT,22433.99,35055.78,35527.43,4598,8284,8854
high,4,22835.05,23676,23,22422,5021,TrafficType.PROVISIONED_THROUGHPUT,22433.99,35055.78,35527.43,4598,8284,8854
high,5,20857.02,23676,29,22422,4634,TrafficType.PROVISIONED_THROUGHPUT,22433.99,35055.78,35527.43,4598,8284,8854
high,6,34950.97,23676,28,22422,8157,TrafficType.PROVISIONED_THROUGHPUT,22433.99,35055.78,35527.43,4598,8284,8854
high,7,22211.38,23676,28,0,4503,TrafficType.PROVISIONED_THROUGHPUT,22433.99,35055.78,35527.43,4598,8284,8854
high,8,22656.59,23676,31,22422,4563,TrafficType.PROVISIONED_THROUGHPUT,22433.99,35055.78,35527.43,4598,8284,8854
high,9,31044.36,23676,23,22422,7617,TrafficType.PROVISIONED_THROUGHPUT,22433.99,35055.78,35527.43,4598,8284,8854
high,10,35999.08,23676,31,22422,9425,TrafficType.PROVISIONED_THROUGHPUT,22433.99,35055.78,35527.43,4598,8284,8854
