model,request_file,thinking_level,thinking_budget,traffic_type,project,location,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,cached_tokens_min,cached_tokens_p50,cached_tokens_p90,cached_tokens_p95,cached_tokens_p99,cached_tokens_max
gemini-3.5-flash,slow_request_40s.json,minimal,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,8287.58,16011.12,23973.60,24102.19,24205.05,24230.77,23676,23676,23676,23676,23676,23676,20,32,498,2547,4186,4596,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,11747.09,16478.14,22890.57,25983.33,28457.54,29076.09,23676,23676,23676,23676,23676,23676,16,30,37,38,38,38,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,5114.23,16241.31,29529.19,30506.56,31288.47,31483.94,23676,23676,23676,23676,23676,23676,18,30,43,47,51,52,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,4393.62,13884.56,22504.02,22652.91,22772.02,22801.80,23676,23676,23676,23676,23676,23676,28,30,31,31,31,31,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,7738.86,11128.50,41320.45,44787.68,47561.46,48254.91,23676,23676,23676,23676,23676,23676,23,28,31,31,31,31,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_60s.json,minimal,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,10432.44,14671.95,32494.57,89581.48,135251.01,146668.39,94852,94852,94852,94852,94852,94852,33,1402,2116,2133,2147,2150,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,4295.00,9998.96,34783.84,95225.19,143578.27,155666.54,94852,94852,94852,94852,94852,94852,32,822,2039,2043,2046,2047,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,4530.18,14044.00,20853.42,21705.94,22387.95,22558.45,94852,94852,94852,94852,94852,94852,36,736,1088,1641,2084,2195,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,11238.32,16646.65,26977.52,27493.53,27906.33,28009.54,94852,94852,94852,94852,94852,94852,26,792,1021,1057,1086,1093,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,5752.79,21872.62,167244.53,170823.99,173687.56,174403.45,94852,94852,94852,94852,94852,94852,26,964,2281,2301,2317,2321,89580,89580,89580,89580,89580,89580
