model,request_file,thinking_level,thinking_budget,traffic_type,project,location,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,cached_tokens_min,cached_tokens_p50,cached_tokens_p90,cached_tokens_p95,cached_tokens_p99,cached_tokens_max
gemini-3.5-flash,slow_request_40s.json,minimal,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,11814.89,19237.36,40500.32,44404.76,47528.32,48309.20,23676,23676,23676,23676,23676,23676,18,37,4581,4604,4622,4626,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,10706.50,18401.10,23658.96,25128.07,26303.36,26597.18,23676,23676,23676,23676,23676,23676,21,30,55,87,113,119,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,medium,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,10432.35,15579.24,22740.31,24006.85,25020.08,25273.38,23676,23676,23676,23676,23676,23676,28,28,31,31,31,31,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,high,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,10000.97,18992.51,36214.88,48043.58,57506.54,59872.28,23676,23676,23676,23676,23676,23676,15,28,31,31,31,31,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,6716.25,19209.33,24950.89,35346.95,43663.79,45743.01,23676,23676,23676,23676,23676,23676,23,30,34,48,59,62,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_60s.json,minimal,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,6507.72,13410.00,17863.53,19420.40,20665.89,20977.27,94852,94852,94852,94852,94852,94852,30,948,1920,1938,1952,1956,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,5993.95,8433.36,16468.67,16917.66,17276.84,17366.64,94852,94852,94852,94852,94852,94852,26,742,2048,2469,2806,2890,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,medium,,"TrafficType.PROVISIONED_THROUGHPUT, TrafficType.ON_DEMAND",cloud-llm-preview1,global,10,1744.32,14268.54,105532.80,124198.30,139130.70,142863.80,94852,94852,94852,94852,94852,94852,0,184,940,962,980,984,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,high,,"TrafficType.PROVISIONED_THROUGHPUT, TrafficType.ON_DEMAND",cloud-llm-preview1,global,10,5489.70,14911.35,42885.52,102512.50,150214.08,162139.48,94852,94852,94852,94852,94852,94852,30,407,1075,1492,1826,1910,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,1764.59,14866.62,34841.51,88556.52,131528.54,142271.54,94852,94852,94852,94852,94852,94852,32,36,1093,1612,2026,2130,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_40s.json,minimal,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,2072.79,13016.77,18428.55,19443.65,20255.72,20458.74,23676,23676,23676,23676,23676,23676,26,28,33,41,48,50,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,7214.39,13943.78,24895.72,28498.93,31381.50,32102.14,23676,23676,23676,23676,23676,23676,28,28,72,151,214,230,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,9684.29,14451.68,46473.96,51343.54,55239.20,56213.12,23676,23676,23676,23676,23676,23676,28,28,40,43,45,45,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,10487.50,17100.13,21678.83,22620.35,23373.56,23561.87,23676,23676,23676,23676,23676,23676,28,28,31,32,32,32,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,8188.26,13824.79,39175.43,39590.69,39922.89,40005.94,23676,23676,23676,23676,23676,23676,23,28,33,43,50,52,22422,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_60s.json,minimal,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,8054.39,12512.23,15029.21,18270.92,20864.29,21512.64,94852,94852,94852,94852,94852,94852,31,807,2096,2106,2114,2116,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,7871.68,12725.23,16077.85,17207.68,18111.54,18337.51,94852,94852,94852,94852,94852,94852,367,910,1890,1915,1934,1939,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,4700.54,14144.47,36080.56,90092.53,133302.10,144104.50,94852,94852,94852,94852,94852,94852,30,673,985,986,987,987,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,4627.77,18282.66,37908.50,90627.44,132802.59,143346.38,94852,94852,94852,94852,94852,94852,26,286,1030,1091,1140,1152,0,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_60s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,2160.44,23129.89,72876.02,107470.34,135145.80,142064.66,94852,94852,94852,94852,94852,94852,32,808,2108,2115,2121,2122,89580,89580,89580,89580,89580,89580
gemini-3.5-flash,slow_request_40s.json,minimal,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,13663.73,25066.99,39870.92,42627.53,44832.82,45384.14,23676,23676,23676,23676,23676,23676,27,30,4607,4630,4648,4653,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,11173.87,17223.55,30592.98,44564.81,55742.27,58536.64,23676,23676,23676,23676,23676,23676,26,28,28,30,31,31,0,22422,22422,22422,22422,22422
gemini-3.5-flash,slow_request_40s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,10676.68,15031.37,37133.26,41365.51,44751.31,45597.76,23676,23676,23676,23676,23676,23676,26,28,31,31,31,31,0,22422,22422,22422,22422,22422
