model,request_file,thinking_level,thinking_budget,traffic_type,project,location,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,cached_tokens_min,cached_tokens_p50,cached_tokens_p90,cached_tokens_p95,cached_tokens_p99,cached_tokens_max,thinking_tokens_min,thinking_tokens_p50,thinking_tokens_p90,thinking_tokens_p95,thinking_tokens_p99,thinking_tokens_max,source_json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,minimal,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,13841.16,18716.68,27428.45,39903.98,49884.41,52379.51,23676,23676,23676,23676,23676,23676,27,28,1365,2973,4259,4580,0,22422,22422,22422,22422,22422,3118,4322,5654,6818,7748,7981,json_results_20260528_070309/gemini-3_5-flash_slow_request_40s_level_minimal_20260528_070309.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,5844.92,14810.19,24105.36,24893.55,25524.10,25681.74,23676,23676,23676,23676,23676,23676,26,30,43,47,50,51,0,22422,22422,22422,22422,22422,1335,3344,6043,6297,6500,6551,json_results_20260528_070309/gemini-3_5-flash_slow_request_40s_level_low_20260528_070309.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,medium,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,12438.90,18608.07,38285.24,38906.20,39402.97,39527.16,23676,23676,23676,23676,23676,23676,26,28,34,41,47,48,0,22422,22422,22422,22422,22422,3160,4700,9213,9689,10070,10165,json_results_20260528_070309/gemini-3_5-flash_slow_request_40s_level_medium_20260528_070309.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,high,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,6173.49,17645.60,27383.58,31871.24,35461.37,36358.90,23676,23676,23676,23676,23676,23676,28,28,31,31,31,31,0,11211,22422,22422,22422,22422,1271,4315,7073,7904,8570,8736,json_results_20260528_070309/gemini-3_5-flash_slow_request_40s_level_high_20260528_070309.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,13992.17,22747.20,40435.99,43102.62,45235.92,45769.24,23676,23676,23676,23676,23676,23676,23,28,28,30,31,31,0,22422,22422,22422,22422,22422,3562,5429,10265,11343,12205,12421,json_results_20260528_070309/gemini-3_5-flash_slow_request_40s_20260528_070309.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,minimal,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,6595.83,11588.93,19941.89,23501.27,26348.77,27060.64,94852,94852,94852,94852,94852,94852,32,979,1868,1915,1953,1962,89580,89580,89580,89580,89580,89580,926,1675,2411,2913,3315,3416,json_results_20260528_070309/gemini-3_5-flash_slow_request_60s_level_minimal_20260528_070309.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,10,7148.60,10001.48,21860.95,23624.55,25035.43,25388.15,94852,94852,94852,94852,94852,94852,31,181,1058,1550,1943,2041,89580,89580,89580,89580,89580,89580,885,1410,3437,3790,4072,4143,json_results_20260528_070309/gemini-3_5-flash_slow_request_60s_level_low_20260528_070309.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,medium,,"TrafficType.PROVISIONED_THROUGHPUT, TrafficType.ON_DEMAND",cloud-llm-preview1,global,10,8147.64,18341.79,47339.63,112726.84,165036.60,178114.04,94852,94852,94852,94852,94852,94852,32,543,978,1034,1078,1089,0,89580,89580,89580,89580,89580,1305,2534,11196,37054,57740,62911,json_results_20260528_070309/gemini-3_5-flash_slow_request_60s_level_medium_20260528_070309.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,high,,"TrafficType.PROVISIONED_THROUGHPUT, TrafficType.ON_DEMAND",cloud-llm-preview1,global,10,13307.76,29884.54,62978.44,129437.57,182604.87,195896.69,94852,94852,94852,94852,94852,94852,32,248,2268,2297,2321,2327,89580,89580,89580,89580,89580,89580,2569,4844,14813,38864,58104,62914,json_results_20260528_070309/gemini-3_5-flash_slow_request_60s_level_high_20260528_070309.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,,,"TrafficType.PROVISIONED_THROUGHPUT, TrafficType.ON_DEMAND",cloud-llm-preview1,global,10,10706.00,26975.13,193095.19,195860.60,198072.93,198626.02,94852,94852,94852,94852,94852,94852,26,712,2343,2480,2589,2616,89580,89580,89580,89580,89580,89580,1784,4268,62915,62916,62916,62916,json_results_20260528_070309/gemini-3_5-flash_slow_request_60s_20260528_070309.json
