model,request_file,thinking_level,thinking_budget,traffic_type,project,location,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,cached_tokens_min,cached_tokens_p50,cached_tokens_p90,cached_tokens_p95,cached_tokens_p99,cached_tokens_max,thinking_tokens_min,thinking_tokens_p50,thinking_tokens_p90,thinking_tokens_p95,thinking_tokens_p99,thinking_tokens_max,source_json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,minimal,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,9670.93,19177.19,55697.89,57897.42,59657.04,60096.94,23676,23676,23676,23676,23676,23676,10,28,4605,4619,4630,4633,0,22422,22422,22422,22422,22422,2052,4698,10249,10270,10287,10291,json_results_20260528_070310/gemini-3_5-flash_slow_request_40s_level_minimal_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,10117.11,17280.00,30530.16,31216.25,31765.12,31902.34,23676,23676,23676,23676,23676,23676,27,28,34,37,40,41,0,22422,22422,22422,22422,22422,2392,4135,7708,7907,8066,8106,json_results_20260528_070310/gemini-3_5-flash_slow_request_40s_level_low_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,1637.67,13724.02,19965.01,20224.98,20432.96,20484.96,23676,23676,23676,23676,23676,23676,23,28,31,32,33,33,0,22422,22422,22422,22422,22422,213,3332,4816,4860,4895,4904,json_results_20260528_070310/gemini-3_5-flash_slow_request_40s_level_medium_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,8019.28,14942.03,19092.09,19517.23,19857.35,19942.38,23676,23676,23676,23676,23676,23676,26,28,31,31,31,31,0,22422,22422,22422,22422,22422,1847,3599,4722,5129,5454,5535,json_results_20260528_070310/gemini-3_5-flash_slow_request_40s_level_high_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,12074.85,20116.13,34670.85,34847.83,34989.41,35024.80,23676,23676,23676,23676,23676,23676,23,28,31,31,31,31,22422,22422,22422,22422,22422,22422,2997,4474,8811,8961,9080,9110,json_results_20260528_070310/gemini-3_5-flash_slow_request_40s_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,minimal,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,10564.94,18433.51,25970.61,26457.79,26847.54,26944.97,94852,94852,94852,94852,94852,94852,26,806,1119,1739,2235,2359,0,89580,89580,89580,89580,89580,1432,2457,3223,3254,3280,3286,json_results_20260528_070310/gemini-3_5-flash_slow_request_60s_level_minimal_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,7502.79,11227.58,38931.42,113374.22,172928.47,187817.03,94852,94852,94852,94852,94852,94852,32,565,1263,1646,1952,2029,0,89580,89580,89580,89580,89580,68,1322,8735,35823,57494,62912,json_results_20260528_070310/gemini-3_5-flash_slow_request_60s_level_low_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,10918.57,19782.60,39184.02,40590.74,41716.11,41997.46,94852,94852,94852,94852,94852,94852,30,936,1450,1852,2174,2254,89580,89580,89580,89580,89580,89580,994,2464,4690,5403,5973,6115,json_results_20260528_070310/gemini-3_5-flash_slow_request_60s_level_medium_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,8932.79,17062.58,45445.15,119694.47,179093.93,193943.79,94852,94852,94852,94852,94852,94852,30,216,1065,1155,1227,1245,0,89580,89580,89580,89580,89580,366,3264,10919,36917,57715,62915,json_results_20260528_070310/gemini-3_5-flash_slow_request_60s_level_high_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,2127.02,21353.19,27716.86,30505.32,32736.09,33293.79,94852,94852,94852,94852,94852,94852,30,117,716,750,776,783,89580,89580,89580,89580,89580,89580,124,3286,4687,4706,4720,4724,json_results_20260528_070310/gemini-3_5-flash_slow_request_60s_20260528_070310.json
