model,request_file,thinking_level,thinking_budget,traffic_type,project,location,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,cached_tokens_min,cached_tokens_p50,cached_tokens_p90,cached_tokens_p95,cached_tokens_p99,cached_tokens_max
gemma-4-26b-a4b-it-maas,benchmark/request_1k.json,minimal,,UNKNOWN,cloud-llm-preview1,global,5,263.04,272.59,696.63,834.68,945.12,972.73,1009,1009,1009,1009,1009,1009,645,679,710,710,710,710,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_1k.json,low,,UNKNOWN,cloud-llm-preview1,global,5,249.54,260.85,715.07,850.35,958.57,985.63,1009,1009,1009,1009,1009,1009,654,720,745,750,753,754,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_1k.json,medium,,UNKNOWN,cloud-llm-preview1,global,5,251.32,265.48,712.80,858.48,975.03,1004.17,1009,1009,1009,1009,1009,1009,647,715,742,743,744,744,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_1k.json,high,,UNKNOWN,cloud-llm-preview1,global,5,270.26,274.64,711.51,856.69,972.83,1001.86,1009,1009,1009,1009,1009,1009,653,707,726,732,737,738,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_1k.json,,,UNKNOWN,cloud-llm-preview1,global,5,242.53,274.82,705.42,846.73,959.77,988.04,1009,1009,1009,1009,1009,1009,638,721,747,751,753,754,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_2k.json,minimal,,UNKNOWN,cloud-llm-preview1,global,5,251.86,266.84,1220.18,1310.44,1382.65,1400.70,1791,1791,1791,1791,1791,1791,630,703,717,719,721,722,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_2k.json,low,,UNKNOWN,cloud-llm-preview1,global,5,236.73,254.03,699.63,842.46,956.73,985.30,1791,1791,1791,1791,1791,1791,645,722,761,771,780,782,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_2k.json,medium,,UNKNOWN,cloud-llm-preview1,global,5,229.85,238.87,688.66,833.89,950.07,979.12,1791,1791,1791,1791,1791,1791,683,746,759,762,764,765,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_2k.json,high,,UNKNOWN,cloud-llm-preview1,global,5,234.50,249.18,787.19,883.57,960.67,979.95,1791,1791,1791,1791,1791,1791,691,741,773,775,777,777,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_2k.json,,,UNKNOWN,cloud-llm-preview1,global,5,236.07,270.02,836.99,919.09,984.78,1001.20,1791,1791,1791,1791,1791,1791,697,739,749,750,751,751,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_5k.json,minimal,,UNKNOWN,cloud-llm-preview1,global,5,320.49,337.06,738.57,865.07,966.27,991.57,3896,3896,3896,3896,3896,3896,668,731,741,742,743,743,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_5k.json,low,,UNKNOWN,cloud-llm-preview1,global,5,293.11,305.52,753.35,893.73,1006.02,1034.10,3896,3896,3896,3896,3896,3896,719,768,795,800,803,804,0,0,0,0,0,0
gemma-4-26b-a4b-it-maas,benchmark/request_5k.json,medium,,UNKNOWN,cloud-llm-preview1,global,5,269.46,322.70,6223.68,7947.73,9326.97,9671.78,3896,3896,3896,3896,3896,3896,732,765,786,790,793,794,0,0,0,0,0,0
